game_name,review_text
Age of Wonders 4,"Reception

Age of Wonders 4 received a positive reception on release. PCGamesN said: ""This is undoubtedly the best 4X game I’ve played in years, delivering top-notch exploration, combat, and diplomacy alongside a rewarding and dynamic customisation system."" Polygon said: ""Age of Wonders 4 is good fun as a solidly entertaining amalgamation of familiar things I love."" PC Gamer called the game ""A flavourful and inventive 4X"".

The game sold 250,000 copies in less than a week."
Aliens: Dark Descent,"Reception

Aliens: Dark Descent received ""generally favorable"" reviews, according to review aggregator Metacritic.

Rock Paper Shotgun praised how the game recreated the atmosphere of Aliens, using elements of the franchise to help build tension, ""It's the first to really capture the white-knuckle vibe of setting up perimeters, quipping out that last line of top-tier banter you've been saving, and seeing the shapes on the motion tracker creep closer and squeal louder"". Eurogamer felt that the game didn't do anything to distinguish itself from other games inspired by XCOM: Enemy Unknown, ""Descent doesn't introduce any memorable mechanics or stylistic flourishes at the campaign level. It's as spare and utilitarian as the boxy grey architecture of the Otago itself"". While enjoying the Onslaught mechanic for increasing tension, IGN criticized the technical state of the game, writing, ""These issues are just a bit too frequent and a bit too game-breaking for me to look the other way"".

GamesRadar+ thought the game added interesting, unique flourishes to the tactical game formula, especially the safe room mechanic, ""It's a brilliant and original feature that makes you stop and consider your squad of toughs as a little more human than just walking guns"". Game Informer disliked the game's controls, ""Unfortunately, stealth sections through packs of sleeping Xenomorphs make squad movement feel cumbersome. And at times, crouching and clicking other buttons aren't snappy, leading to deadly encounters with enemies"". PC Gamer liked the increasing infestation that progressed each day, saying that it made the player make hard choices, ""It's a fascinating mixture of ideas that creates tons of emergent conundrums""."
Aquatico,"Reception
The game received mixed reviews upon release. Ken Allsop of PCGamesN described it as Subnautica meets Cities: Skylines. Rock, Paper, Shotgun praised its presentation and visuals, but criticized the gameplay as being too straightforward and uncompelling. PC Gamer was similar in its critique, stating that although there are 'charming details and inventive ideas', as well as a deep management system, the city itself never felt convincing, and gave it a score of 68. German GameStar likewise praised its setting, but said it offers too little to compete with other similar games in the genre, giving it 70%."
Atelier Ryza 3: Alchemist of the End & the Secret Key,"Reception

Upon release, Atelier Ryza 3 received ""generally favorable"" reviews on all platforms, according to review aggregator Metacritic.

PJ O'Reilly wrote for Nintendo Life that the game is so far the best in the Atelier series:  ""Despite some issues with small text, no English dub and a little fussiness in how information is relayed"", ""Atelier Ryza 3: Alchemist of the End & the Secret Key ends Ryza's three-game run on a high note, serving up a heady mix of exploration, crafting and combat that benefits greatly from a narrative arc that's had time to develop and grow.""

Jean-Karlo Lemus wrote for Anime News Network and gave a B+, explaining ""that's a purely analytical score based on how I feel about the mechanics as a greater whole: battles are finicky, getting new recipes is a bit of a grind, and the keys feel almost superfluous. But the experience of this game is one to treasure, especially if you've got the added experience of having played Ryza's other two games. This is a lovely little game about a young woman and her friends making their last farewells to their childhood, stepping out into the world as adults.""

On March 31, 2023, Koei Tecmo announced total worldwide sales for Atelier Ryza 3 had surpassed 290,000 units. On April 27, 2023, Koei Tecmo announced that Atelier Ryza 3's sales had surpassed 300,000 units, making it the fastest selling game in the Secret series. On June 26, 2023, Koei Tecmo announced that the Atelier Ryza series has sold over two million units."
Bayonetta Origins: Cereza and the Lost Demon,"Reception

Bayonetta Origins: Cereza and the Lost Demon received ""generally favorable reviews"", according to review aggregator Metacritic.

Bayonetta Origins: Cereza and the Lost Demon was the sixth bestselling retail game during its first week of release in Japan, with 6,474 physical copies being sold."
Birdie Wing: Golf Girls' Story,"Reception
The series was received positively. Briana Lawrence of The Mary Sue called the series ""delightfully bonkers"" and predicted future episodes would expand its ""wacky, sapphic vibe"". She later described the series as a ""fantastically campy golf (love) story"". Yuricon founder Erica Friedman argued that the series is similar to isekai like I'm in Love with the Villainess and argued it flouts the rules of the sports anime genre. She also called it a ""delightful romp"" with openly yuri themes and said it is close to becoming the ""greatest Yuri sports anime of all time"".

Alex Henderson of Anime Feminist, reviewing the first episode, criticized the series for its ""questionable tropes"" and tackling ""touchy subjects with [fairly] wild abandon"" but still argued it is entertaining and the most fun they ""ever had watching golf"". Vrai Kaiser of the same publication, reviewing the first four episodes, argued that the show's ""extreme sports angle"" wasn't as strong as it could be, and described the show as ""flashy"" and ""weird"" but said that the rivalry between Eve and Aoi gave the series ""an unexpectedly solid core"".

Reviewers for Anime News Network were more positive. They stated that they either loved the series, said it was cool with an ""utterly ridiculous premise"", were invested in seeing where the Aoi/Eve relationship went, described it as the best sports anime of the season, or otherwise praised the series. Nicholas Dupree and Steve Jones, writing for the same publication, said, in the This Week in Anime chatlog, that the series had a compelling angle when it came to the ""rivalry/romance between Eve and Aoi"" and praised the opening sequence."
Blood Bowl 3,"Reception

Blood Bowl 3 received ""mixed or average reviews"" according to review aggregator Metacritic, based on 22 reviews for Windows. Robin Valentine writing for PC Gamer criticised the microtransactions within the game along with the numerous bugs that were present during the review period just before release. The UI was described as 'messy' and 'awkward' and he found the players hard to differentiate. He went on to predict the game would have a 'disastrous launch' due to it being 'fundamentally unfinished'. Timothy Linward at Wargamer praised the core game and also the graphics as an improvement on its predecessor but found it hard to follow what was happening in the game or differentiate the player models on some teams. He also had problems with bugs and the AI of the game in single-player. Wargamer also criticised the early access due to the bugs, crashes and server issues at release with Cyanide coming out in a statement to say they were dealing with the problems and blamed the large volume of players overwhelming the servers. Wargamer also later conceded that the game they had reviewed was not representative of the one that was released. TheGamer praised the variety of cosmetic upgrades, the tournament management options and the core game but had doubts over the microtransaction and live-service direction of the game.

Jake Tucker in NME said that the game was ""Bug-infested and content-light"" and that it shouldn't have launched in such a poor condition. NME also collected fan reviews which criticised the microtransactions and the poor launch. Andrei Dumitrescu for Softpedia gave the game a positive review praising the customisation and tournament options but also pointing out the technical issues the game faced at launch. IGN couldn't find any reason to recommend the game over its predecessor describing it as ""a sloppy, muddy, buggy rehash of a better game"".

In the week of its release users on Steam had reviewed the game as 'mostly negative' due to the launch issues, monetisation, poor AI and bugs/crashes. Cyanide apologised for the poor launch and responded to the criticism around its monetisation system by saying they would make it fair, rewarding and optional."
Crash Team Rumble,"Reception

Crash Team Rumble received ""mixed or average"" reviews, according to review aggregator Metacritic.

Game Informer felt like each character played like their mainline counterparts, writing, ""Controlling Crash – or one of nine other starting characters from the franchise – feels wonderful"". Destructoid criticized the game's monetization, but praised the focus on player agency: ""I've seen plenty of matches where individual players can make the difference in a marked way, cleaning up an entire team or blowing a crucial cooldown to defend a base when the enemy has the fruit they need to dunk and win""."
Crime Boss: Rockay City,"Reception

Crime Boss: Rockay City received ""mixed or average"" reviews according to review aggregator Metacritic, with an aggregate score of 52/100 based on 32 reviews.  

Many of the reviews wrote that most of the hired voice cast, despite their fame in movies, put in underwhelming performances.  Another complaint common to most reviews was that the stealth system to the game was overly finnicky and not well-supported, with the game eventually prompting players to get to the shooting regardless of how carefully an attempt at a stealthy approach was made.  Alice Bell of Rock Paper Shotgun said the game was a worse Payday, already a twelve-year old game in 2023.  Wesley LeBlanc of Game Informer was harsh, saying the gameplay was buggy and boring, and that the plot and characters were poorly written.  He gave the game a mere 3/10 overall score.   Cory Wells of Hardcore Gamer gave the game a cautiously positive review, warning that the game was neither exactly like Payday nor an open-world freeform game in the vein of the Grand Theft Auto series that many expected, but that gamers who didn't mind repetition would find a solid basic gameplay experience in the heists.   Luke Plunkett of Kotaku was derisive, writing that Crime Boss ""gets absolutely everything it sets out to do wrong"".  Writing a month after the PC release, he said that the game had attracted little comment and notice on the Internet, even negative, and noted the lack of a Steam release as a potential reason why."
Diablo IV,"Reception

Diablo IV received ""generally favorable"" reviews for the Windows and PlayStation 5 versions, and ""universal acclaim"" for the Xbox Series X version, according to review aggregator Metacritic. Windows Central called Diablo IV ""Blizzard's magnum opus"" and ""Blizzard's most important, pivotal game since World of Warcraft, exceeding all expectations."" The game was praised for its atmosphere, storytelling, visuals, level design, and overall improvements to the gameplay over its predecessor. Travis Northup of IGN called it ""a spectacular sequel"". He commended the gameplay, improvements made over Diablo III, and the uniqueness and customization options of the character classes, but criticized the repetition in the game's opening act, and some technical issues. PCGamesN praised the visuals and aesthetic, writing ""It's creepy, yet somehow beautiful"". While liking the endgame, Ars Technica felt the skill trees presented fewer options for upgrades than in Diablo III. 

Alessandro Barbosa of GameSpot wrote that the game's story was ""moving and engrossing"", particularly praising the handling of Lilith, the game's main antagonist. Barbosa thought that the game put a larger emphasis on companions than in previous Diablo installments, and highlighted the moment-to-moment action of the game as one of its strongest points. However, he criticized the boss fights in some of the game's more common dungeons for lacking in complexity, calling them less interesting than those encountered in the main story.

Polygon disliked the dungeon-crawling aspect of the game, feeling that it became repetitive fairly quickly, saying ""The procedurally generated dungeons don’t vary much in layout and feel like missed opportunities to have fun with randomized architecture"". VG247 praised the game's soundtrack as ""exceptional; equal parts haunting and daunting, just like its traumatised world"".

 Sales 
On June 6, 2023, Blizzard Entertainment announced that Diablo IV became the fastest-selling game in Blizzard Entertainment's history. Diablo IV has generated $666 million in revenue within the first 5 days of launch.

The PlayStation 5 version of Diablo IV was the second bestselling retail game during its first week of release in Japan, with 24,375 physical copies being sold. The PlayStation 4 version sold 8,524 copies in Japan throughout the week and was ranked at number five on the weekly all-format video game sales chart. In total, Diablo IV sold 41,839 retail copies across all platforms during its first week of release in Japan."
